Country,MAE,RMSE,MAPE (%),Test days
India,210.70952380952383,223.95162408871428,100.0,30
United States,36723.019047619055,36811.703117794656,100.0,30
Brazil,7267.532848573449,8131.141391943936,101.07638700874679,30
France,3569.1666666666665,3582.0082586875933,100.0,30
Germany,9011.788350067432,10944.163367032412,71.11872753844699,30
